Wavelength (nm)  Solar flux (mW/m^2/nm)
         0.5000  1.557502e-02   
         1.5000  1.038271e-02   
         2.5000  1.134473e-01   
         3.5000  7.387564e-02   
         4.5000  1.020435e-01   
         5.5000  1.750963e-01   
         6.5000  1.554779e-01   
         7.5000  1.629321e-01   
         8.5000  9.912032e-02   
         9.5000  1.110507e-01   
        10.5000  3.850472e-02   
        11.5000  2.754755e-02   
        12.5000  1.723050e-02   
        13.5000  1.659919e-02   
        14.5000  5.264658e-02   
        15.5000  6.339149e-02   
        16.5000  8.605542e-02   
        17.5000  3.808187e-01   
        18.5000  1.897971e-01   
        19.5000  1.951484e-01   
        20.5000  9.444824e-02   
        21.5000  7.286893e-02   
        22.5000  1.021600e-01   
        23.5000  5.117443e-02   
        24.5000  1.283765e-01   
        25.5000  2.117528e-01   
        26.5000  7.054673e-02   
        27.5000  1.238261e-01   
        28.5000  1.925535e-01   
        29.5000  4.319531e-02   
        30.5000  1.004984e+00   
        31.5000  1.774148e-01   
        32.5000  2.459704e-01   
        33.5000  2.411532e-01   
        34.5000  1.029341e-01   
        35.5000  8.840807e-02   
        36.5000  1.580217e-01   
        37.5000  1.969292e-02   
        38.5000  8.430022e-03   
        39.5000  8.365199e-03   
        40.5000  1.400599e-02   
        41.5000  2.743511e-02   
        42.5000  6.774478e-03   
        43.5000  1.576604e-02   
        44.5000  6.175893e-03   
        45.5000  6.898939e-03   
        46.5000  2.489824e-02   
        47.5000  9.870383e-03   
        48.5000  1.640906e-02   
        49.5000  5.832332e-02   
        50.5000  2.372335e-02   
        51.5000  8.116269e-03   
        52.5000  1.427684e-02   
        53.5000  1.050421e-02   
        54.5000  6.759343e-03   
        55.5000  3.021592e-02   
        56.5000  9.197044e-03   
        57.5000  9.147445e-03   
        58.5000  5.172591e-02   
        59.5000  1.077630e-02   
        60.5000  4.425113e-02   
        61.5000  1.343314e-02   
        62.5000  5.823475e-02   
        63.5000  1.471642e-02   
        64.5000  3.352113e-03   
        65.5000  2.642723e-03   
        66.5000  2.338710e-03   
        67.5000  2.395115e-03   
        68.5000  8.248282e-03   
